node,throughput,latency,receivedByte,numCoding
0,inf,0,41300,72
1,inf,0,51500,74
2,inf,0,53800,72
3,inf,0,58100,46
4,inf,0,64300,0
5,inf,0,64600,0
6,inf,0,47200,0
7,inf,0,39100,0
8,inf,0,57100,0
9,inf,0,45200,0
10,inf,0,14600,0
11,inf,0,44100,0
12,inf,0,27800,0
13,inf,0,30600,0
14,inf,0,30300,0
15,inf,0,73000,0
16,inf,0,48400,0
17,inf,0,49300,88
18,inf,0,49400,89
19,inf,0,33100,0
20,-nan,0,0,0
21,31.5614,3.16842,13700,0
22,1522.03,0.0657016,14900,0
23,921.547,0.108513,14900,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,765.849,0.130574,16500,0
28,-nan,0,0,0
29,29.7154,3.36525,12600,0
30,-nan,0,0,0
31,658.099,0.151953,14800,0
32,1108.09,0.0902457,14600,0
33,33.0134,3.02907,12800,0
34,1121.35,0.0891783,15000,0
35,618.987,0.161554,15200,0
36,-nan,0,0,0
37,792.023,0.126259,14300,0
38,1105.96,0.0904189,12300,0
39,728.453,0.137277,13800,0
